Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,NE,Nebraska,Brown,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.9,,,3.4,4.5,2908,31017,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-99.9239198 42.3595618),448
2021,NE,Nebraska,Burt,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.5,,,32.8,46.3,6709,31021,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-96.3377462 41.8541794),2195
2021,NE,Nebraska,Wayne,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,35.2,,,29.6,41.0,9784,31179,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-97.1262433 42.210746),477
2021,NE,Nebraska,Holt,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,68.7,,,63.9,73.5,10049,31089,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-98.7847662 42.4592867),2296
2021,NE,Nebraska,Hamilton,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.7,,,6.7,8.7,9386,31081,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-98.0223294 40.8728173),2257
2021,NE,Nebraska,Rock,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,9.6,,,8.4,10.8,1264,31149,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-99.4208512 42.394749),471
2020,NE,Nebraska,Richardson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,58.6,,,54.5,62.3,7759,31147,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-95.7186026 40.1237427),2396
2021,NE,Nebraska,Polk,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.1,,,6.1,8.2,5174,31143,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-97.5706627 41.1879253),2310
2021,NE,Nebraska,Pawnee,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,11.7,,,10.3,13.3,2548,31133,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-96.2452136 40.1377971),2307
2020,NE,Nebraska,Lancaster,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,69.9,,,66.4,73.1,324514,31109,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-96.6886584 40.7835474),462
2021,NE,Nebraska,Cass,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14.2,,,10.9,17.8,27017,31025,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-96.1406086 40.9098778),2197
2021,NE,Nebraska,Dodge,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.4,,,11.4,15.8,37103,31053,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-96.6458524 41.5770082),2248
2021,NE,Nebraska,Webster,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.8,3.8,3411,31181,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-98.4985897 40.1806461),2356
2021,NE,Nebraska,Gosper,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,26.6,,,22.5,31.1,1824,31073,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-99.8232058 40.5090947),457
2021,NE,Nebraska,Otoe,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.6,6.9,15930,31131,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-96.1310274 40.6379916),2306
2021,NE,Nebraska,Seward,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.8,,,21.7,28.0,17603,31159,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-97.140383 40.8719439),2349
2021,NE,Nebraska,Kimball,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,17.5,,,14.8,20.3,3412,31105,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-103.7031528 41.1992736),2301
